agent,trial,episode,cumulativeReward,averageReward,cumulativeSteps,numSteps
Q-Learning,3,21,-702.5298914762982,-0.07618775430534006,7743.0,137.0
Q-Learning,3,22,-723.7676138161299,-0.0866845809789049,7988.0,245.0
Q-Learning,3,23,-742.3053361559616,-0.08503542357720945,8206.0,218.0
Q-Learning,3,24,-755.3430584957932,-0.07998602662473363,8369.0,163.0
Q-Learning,3,25,-755.4807808356248,-0.004050657053871237,8403.0,34.0
Q-Learning,3,26,-758.3185031754565,-0.04652003835789533,8464.0,61.0
Q-Learning,3,27,-766.156225515288,-0.07061011116965403,8575.0,111.0
Q-Learning,3,28,-770.1939478551196,-0.055311264929200146,8648.0,73.0
Q-Learning,3,29,-788.9316701949513,-0.08517146518105301,8868.0,220.0
Q-Learning,3,30,-803.7693925347829,-0.08197636651840666,9049.0,181.0
Q-Learning,3,31,-807.3071148746145,-0.05202532852693548,9117.0,68.0
Q-Learning,3,32,-812.6448372144462,-0.062066538835251234,9203.0,86.0
Q-Learning,3,33,-816.6825595542778,-0.055311264929200146,9276.0,73.0
Q-Learning,3,34,-832.2202818941093,-0.08264745925442349,9464.0,188.0
Q-Learning,3,35,-834.958004233941,-0.04562870566386026,9524.0,60.0
Q-Learning,3,36,-845.1957265737726,-0.0758349802950488,9659.0,135.0
Q-Learning,3,37,-849.4334489136043,-0.05650296453108813,9734.0,75.0
Q-Learning,3,38,-853.2711712534359,-0.05405242732157199,9805.0,71.0
Q-Learning,3,39,-861.4088935932675,-0.07138352929676839,9919.0,114.0
Q-Learning,3,40,-866.2466159330992,-0.05972496715841491,10000.0,81.0
Q-Learning,3,41,-873.9843382729308,-0.07034293036210543,10110.0,110.0
Q-Learning,3,42,-884.1220606127624,-0.07565464432710141,10244.0,134.0
Q-Learning,3,43,-886.559782952594,-0.04276705859353713,10301.0,57.0
Q-Learning,3,44,-894.1975052924256,-0.07007084715441833,10410.0,109.0
Q-Learning,3,45,-895.9352276322572,-0.03475444679663238,10460.0,50.0
Q-Learning,3,46,-899.2729499720889,-0.05057155060350929,10526.0,66.0
Q-Learning,3,47,-904.5106723119205,-0.06162026282154831,10611.0,85.0
Q-Learning,3,48,-910.3483946517522,-0.06415079494320444,10702.0,91.0
Q-Learning,3,49,-915.3861169915838,-0.06069544987748924,10785.0,83.0
